date,SONIA,5Y
2000-01-04,4.591,6.3171
2000-01-05,4.4584,6.3786
2000-01-06,4.9208,6.3921
2000-01-07,4.4172,6.3387
2000-01-10,4.2968,6.2749
2000-01-11,3.9486,6.3577
2000-01-12,3.6436,6.3923
2000-01-13,5.5285,6.3253
2000-01-14,5.0126,6.3504
2000-01-17,5.4604,6.4058
2000-01-18,5.5056,6.4974
2000-01-19,6.1642,6.4434
2000-01-20,6.0458,6.4871
2000-01-21,5.8912,6.4575
2000-01-24,5.8686,6.4476
2000-01-25,6.0595,6.3903
2000-01-26,6.0749,6.3639
2000-01-27,6.5169,6.4568
2000-01-28,6.0424,6.4847
2000-01-31,6.606,6.4025
2000-02-01,6.1338,6.2913
2000-02-02,5.8505,6.297
2000-02-03,5.8447,6.2673
2000-02-04,5.6334,6.3381
2000-02-07,5.2398,6.3642
2000-02-08,5.0384,6.3287
2000-02-09,4.6908,6.3561
2000-02-10,6.2416,6.3671
2000-02-11,5.8519,6.2976
2000-02-14,5.9246,6.2153
2000-02-15,6.0684,6.238
2000-02-16,6.227,6.3581
2000-02-17,5.73,6.3099
2000-02-18,6.1442,6.2769
2000-02-21,5.8418,6.2019
2000-02-22,6.1601,6.1126
2000-02-23,5.8504,6.1289
2000-02-24,6.3514,6.0461
2000-02-25,5.9295,6.0451
2000-02-28,5.8994,6.0692
2000-02-29,6.0053,6.1261
2000-03-01,6.241,6.0888
2000-03-02,6.3003,6.1177
2000-03-03,5.8338,6.0626
2000-03-06,5.9165,6.0137
2000-03-07,6.2693,5.9995
2000-03-08,5.9069,6.0149
2000-03-09,5.7663,5.9797
2000-03-10,5.4667,6.0112
2000-03-13,5.4238,6.0008
2000-03-14,5.2997,6.0245
2000-03-15,5.2697,6.0194
2000-03-16,5.1976,5.9312
2000-03-17,6.2567,5.896
2000-03-20,5.7718,5.9044
2000-03-21,6.1537,5.917
2000-03-22,6.5235,5.962
2000-03-23,5.6885,5.9488
2000-03-24,5.4785,5.9632
2000-03-27,5.4679,6.1091
2000-03-28,5.3095,6.0628
2000-03-29,5.5004,6.063
2000-03-30,5.7661,5.9955
2000-03-31,5.7179,5.9774
2000-04-03,5.6914,5.9319
2000-04-04,5.5847,5.9571
2000-04-05,5.3954,5.8802
2000-04-06,5.8267,5.943
2000-04-07,5.8689,5.8818
2000-04-10,6.1592,5.9125
2000-04-11,6.1984,5.8723
2000-04-12,5.935,5.8985
2000-04-13,5.8132,5.9148
2000-04-14,5.6068,5.9261
2000-04-17,5.8734,5.9312
2000-04-18,5.9436,5.9273
2000-04-19,6.4177,5.9429
2000-04-20,6.2604,5.9601
2000-04-25,5.9393,5.9935
2000-04-26,6.0767,5.9376
2000-04-27,6.3859,5.8884
2000-04-28,5.8485,5.8155
2000-05-02,5.717,5.8214
2000-05-03,5.5954,5.8166
2000-05-04,6.1485,5.9009
2000-05-05,5.8867,5.9337
2000-05-08,5.7085,5.9066
2000-05-09,5.7223,5.8683
2000-05-10,5.7731,5.8743
2000-05-11,6.0756,5.9843
2000-05-12,6.3722,5.9901
2000-05-15,5.9116,5.9579
2000-05-16,6.3565,5.9419
2000-05-17,5.8053,6.0191
2000-05-18,5.6339,6.0363
2000-05-19,5.6976,6.043
2000-05-22,6.1507,5.9755
2000-05-23,6.3281,6.0145
2000-05-24,5.8,5.9838
2000-05-25,6.0279,5.9178
2000-05-26,5.6527,5.8506
2000-05-30,5.8159,5.8761
2000-05-31,5.9768,5.8117
2000-06-01,5.7501,5.7647
2000-06-02,5.6895,5.6653
2000-06-05,5.6545,5.6952
2000-06-06,5.5374,5.7217
2000-06-07,6.2445,5.7226
2000-06-08,6.5592,5.7755
2000-06-09,5.5629,5.7368
2000-06-12,5.7222,5.7274
2000-06-13,5.7503,5.717
2000-06-14,5.6151,5.7247
2000-06-15,6.2218,5.7217
2000-06-16,5.5817,5.636
2000-06-19,5.6417,5.6364
2000-06-20,6.212,5.6683
2000-06-21,5.7432,5.751
2000-06-22,6.5069,5.7332
2000-06-23,6.7775,5.7721
2000-06-26,5.7092,5.7622
2000-06-27,5.7257,5.7738
2000-06-28,6.3515,5.7695
2000-06-29,6.0537,5.7076
2000-06-30,5.2592,5.7004
2000-07-03,5.3602,5.7227
2000-07-04,5.7605,5.6849
2000-07-05,5.581,5.6364
2000-07-06,6.0046,5.69
2000-07-07,5.5963,5.6207
2000-07-10,5.7229,5.6684
2000-07-11,5.7648,5.6568
2000-07-12,6.6081,5.6349
2000-07-13,6.6004,5.6303
2000-07-14,5.7441,5.6915
2000-07-17,5.8204,5.7087
2000-07-18,6.1991,5.7185
2000-07-19,6.4737,5.7041
2000-07-20,6.7766,5.728
2000-07-21,6.3387,5.6926
2000-07-24,5.6143,5.7138
2000-07-25,5.6898,5.685
2000-07-26,5.8457,5.661
2000-07-27,6.5343,5.6682
2000-07-28,5.8396,5.7564
2000-07-31,5.8457,5.7442
2000-08-01,5.6508,5.7329
2000-08-02,5.6139,5.7537
2000-08-03,6.2961,5.7293
2000-08-04,6.2903,5.7408
2000-08-07,5.7439,5.7194
2000-08-08,5.8561,5.7136
2000-08-09,5.7512,5.7102
2000-08-10,5.6104,5.7202
2000-08-11,6.1151,5.6937
2000-08-14,6.5434,5.7434
2000-08-15,5.7008,5.7744
