,trade_id,currency,entry_date,exit_date,days_held,ois_cc_entry,spread_cc_annual,funding_cc,swap5_cc_entry,fx_local_entry,fx_gbp_entry,fx_local_exit,fx_gbp_exit,borrowed_usd,equity_usd,borrowed_gbp,interest_gbp,repay_gbp,repay_usd,bond_entry_price_local,n_bonds,bond_exit_price_local,bond_accrued_local,bond_proceeds_local,bond_proceeds_usd,bond_pnl_usd,borrow_cost_usd,total_pnl_usd
0,1,RepTurkey,2010-01-06,2010-01-12,6,0.004534,0.005,0.009534,0.08149237599258202,1.475206,0.625042,1.455133,0.618839,8000000.0,2000000.0,5000336.0,783.7305101873559,5001119.730510187,8081455.322806396,100.0,147520.6,124.41897517028025,0.13956977462319678,18374951.285399124,12627678.215942545,2627678.215942545,81455.32280639559,2546222.8931361493
1,2,RepTurkey,2010-01-13,2010-01-19,6,0.00453,0.005,0.00953,0.08053067553473305,1.449167,0.614212,1.459865,0.611396,8000000.0,2000000.0,4913696.0,769.8277974855133,4914465.8277974855,8038105.953911189,100.0,144916.7,124.30867964020854,0.1378554972848565,18034381.19855959,12353458.161240656,2353458.161240656,38105.95391118899,2315352.207329467
2,3,RepTurkey,2010-01-20,2010-01-26,6,0.004542,0.005,0.009542,0.07969096994804664,1.469528,0.614339,1.496515,0.620002,8000000.0,2000000.0,4914712.0,770.9566034266104,4915482.9566034265,7928172.742351518,100.0,146952.8,123.57800924773451,0.13636002926720994,18180172.965489376,12148339.953484846,2148339.9534848463,-71827.25764848199,2220167.2111333283
3,4,RepTurkey,2010-01-27,2010-02-02,6,0.004566,0.005,0.009566,0.08057038725678328,1.494414,0.617393,1.487343,0.626367,8000000.0,2000000.0,4939144.0,776.7380801896318,4939920.73808019,7886623.557882503,100.0,149441.4,123.28389254935794,0.13792625271204464,18444329.392327663,12400858.034984306,2400858.0349843055,-113376.44211749732,2514234.477101803
4,5,RepTurkey,2010-02-03,2010-02-09,6,0.004602,0.005,0.009602,0.08303276176125006,1.485472,0.627483,1.511121,0.638226,8000000.0,2000000.0,5019864.0,792.4033702440586,5020656.403370244,7866580.808945804,100.0,148547.19999999998,121.50644743608571,0.14231902381590394,18070583.641072296,11958396.21120499,1958396.2112049907,-133419.1910541961,2091815.4022591868
5,6,RepTurkey,2010-02-10,2010-02-16,6,0.004661,0.005,0.009661,0.08372374458199505,1.514355,0.640882,1.511544,0.63563,8000000.0,2000000.0,5127056.0,814.2973376742509,5127870.297337675,8067382.43528102,100.0,151435.49999999997,123.03063652122452,0.1435536524919926,18652945.076051842,12340325.571767572,2340325.5717675723,67382.43528101966,2272943.1364865527
6,7,RepTurkey,2010-02-17,2010-02-23,6,0.0046760000000000005,0.005,0.009676,0.08316594678218918,1.507207,0.635786,1.536959,0.648028,8000000.0,2000000.0,5086288.0,809.0767709201299,5087097.07677092,7850119.249123371,100.0,150720.7,123.00607066439665,0.14255692870139863,18561047.354871053,12076475.270238863,2076475.2702388633,-149880.7508766288,2226356.021115492
7,8,RepTurkey,2010-02-24,2010-03-02,6,0.004679,0.005,0.009679,0.08320323571275598,1.546294,0.64842,1.535424,0.668827,8000000.0,2000000.0,5187360.0,825.4101683268608,5188185.410168326,7757141.099519498,100.0,154629.4,124.2570254876716,0.1426235426109524,19235843.089763172,12528033.357406927,2528033.3574069273,-242858.90048050229,2770892.2578874296
8,9,RepTurkey,2010-03-03,2010-03-09,6,0.004674,0.005,0.009674,0.08209410679969645,1.537738,0.662597,1.539747,0.667464,8000000.0,2000000.0,5300776.0,843.0211168617395,5301619.021116862,7942928.788843837,100.0,153773.8,124.94707915270766,0.14064322752102223,19235214.403752808,12492451.294759989,2492451.294759989,-57071.211156163365,2549522.505916152
9,10,RepTurkey,2010-03-10,2010-03-16,6,0.004697,0.005,0.009697,0.08257773726648505,1.536795,0.668569,1.525648,0.658276,8000000.0,2000000.0,5348552.0,852.6417972805285,5349404.641797281,8126385.65251852,100.0,153679.5,125.3826849102501,0.14150646458434699,19290494.96838887,12644132.177533003,2644132.1775330026,126385.65251852013,2517746.5250144824
10,11,RepTurkey,2010-03-17,2010-03-23,6,0.004699,0.005,0.009699,0.08136139815041907,1.513646,0.652497,1.542877,0.664649,8000000.0,2000000.0,5219976.0,832.3164400328936,5220808.316440033,7854985.588543776,100.0,151364.6,124.28153747446024,0.13933620333003965,18832915.775889255,12206362.383967908,2206362.383967908,-145014.41145622358,2351376.7954241317
11,12,RepTurkey,2010-03-24,2010-03-30,6,0.004712,0.005,0.009712,0.08164422020360164,1.545213,0.67104,1.527652,0.663018,8000000.0,2000000.0,5368320.0,857.1170283214019,5369177.117028321,8098086.502973255,100.0,154521.3,123.75578286158594,0.13984059496846113,19144512.800817277,12531985.55745502,2531985.55745502,98086.50297325477,2433899.0544817653
